ISO,Country,Gold,Silver,Bronze,Population
AFG,Afghanistan,0,0,1,35320445
ARG,Argentina,1,1,2,40764561
ARM,Armenia,0,1,2,3100236
AUS,Australia,7,16,12,22620600
AZE,Azerbaijan,2,2,6,9168000
BEL,Belgium,0,1,2,11008000
BGR,Bulgaria,0,1,1,7476000
BHR,Bahrain,0,0,1,1323535
BHS,Bahamas,1,0,0,347176
BLR,Belarus,3,5,5,9473000
BRA,Brazil,3,5,9,196655014
BWA,Botswana,0,1,0,2030738
CAN,Canada,1,5,12,34482779
CHE,Switzerland,2,2,0,7907000
CHN,China,38,27,22,1344130000
COL,Colombia,1,3,4,46927125
CUB,Cuba,5,3,6,11253665
CYP,Cyprus,0,1,0,1116564
CZE,Czech Republic,4,3,3,10546000
DEU,Germany,11,19,14,81726000
DNK,Denmark,2,4,3,5574000
DOM,Dominican Republic,1,1,0,10056181
DZA,Algeria,1,0,0,35980193
EGY,Egypt,0,2,0,82536770
ESP,Spain,3,10,4,46235000
EST,Estonia,0,1,1,1340000
ETH,Ethiopia,3,1,3,84320987
FIN,Finland,0,1,2,5387000
FRA,France,11,11,12,65436552
GAB,Gabon,0,1,0,1534262
GBR,Great Britain,29,17,19,60924000
GEO,Georgia,1,3,3,4486000
GRC,Greece,0,0,2,11304000
GRD,Grenada,1,0,0,104890
GTM,Guatemala,0,1,0,14757316
HKG,Hong Kong,0,0,1,7071600
HRV,Croatia,3,1,2,4407000
HUN,Hungary,8,4,5,9971000
IDN,Indonesia,0,1,1,242325638
IND,India,0,2,4,1241491960
IRL,Ireland,1,1,3,4487000
IRN,"Iran, Islamic Rep.",4,5,3,74798599
ITA,Italy,8,9,11,60770000
JAM,Jamaica,4,4,4,2709300
JPN,Japan,7,14,17,127817277
KAZ,Kazakhstan,7,1,5,16558459
KEN,Kenya,2,4,5,41609728
KOR,"Korea, Rep.",13,8,7,49779000
KWT,Kuwait,0,0,1,2818042
LTU,Lithuania,2,1,2,3203000
LVA,Latvia,1,0,1,2220000
MAR,Morocco,0,0,1,32272974
MDA,Moldova,0,0,2,3559000
MEX,Mexico,1,3,3,114793341
MNE,Montenegro,0,1,0,632261
MNG,Mongolia,0,2,3,2800114
MYS,Malaysia,0,1,1,28859154
NLD,Netherlands,6,6,8,16696000
NOR,Norway,2,1,1,4952000
NZL,New Zealand,5,3,5,4405200
POL,Poland,2,2,6,38216000
PRI,Puerto Rico,0,1,1,3706690
PRK,"Korea, Dem. Rep.",4,0,2,24451285
PRT,Portugal,0,1,0,10637000
QAT,Qatar,0,0,2,1870041
ROU,Romania,2,5,2,21390000
RUS,Russian Federation,24,25,33,141930000
SAU,Saudi Arabia,0,0,1,28082541
SGP,Singapore,0,0,2,5183700
SRB,Serbia,1,1,2,7261000
SVK,Slovak Republic,0,1,3,5440000
SVN,Slovenia,1,1,2,2052000
SWE,Sweden,1,4,3,9453000
THA,Thailand,0,2,1,69518555
TJK,Tajikistan,0,0,1,6976958
TTO,Trinidad and Tobago,1,0,3,1346350
TUN,Tunisia,1,1,1,10673800
TUR,Turkey,2,2,1,73639596
TWN,Taiwan,0,1,1,23174528
UGA,Uganda,1,0,0,34509205
UKR,Ukraine,6,5,9,45706100
USA,United States,46,29,29,311591917
UZB,Uzbekistan,1,0,3,29341200
VEN,Venezuela,1,0,0,29278000
ZAF,South Africa,3,2,1,50586757